,Date,MaxTemp,MinTemp,Precipitation,SnowFall,SnowDepth,Year,Month
0,2023-04-09,66,47,0.0,0.0,0.0,2023,4
1,2023-04-08,67,37,0.0,0.0,0.0,2023,4
2,2023-04-07,51,26,0.0,0.0,0.0,2023,4
3,2023-04-06,38,22,0.0,0.0,0.0,2023,4
4,2023-04-05,37,25,0.01,0.0,0.0,2023,4
5,2023-04-04,38,34,0.06,0.0,0.0,2023,4
6,2023-04-03,44,35,0.0,0.0,2.0,2023,4
7,2023-04-02,51,25,0.0,0.0,6.0,2023,4
8,2023-04-01,41,25,0.13,3.2,8.0,2023,4
9,2023-03-31,38,31,1.41,5.3,0.0,2023,3
10,2023-03-30,37,17,0.04,0.0,0.0,2023,3
11,2023-03-29,29,11,0.0,0.0,0.0,2023,3
12,2023-03-28,36,15,0.0,0.0,0.0,2023,3
13,2023-03-27,41,24,0.0,0.0,0.0,2023,3
14,2023-03-26,44,24,0.0,0.0,0.0,2023,3
15,2023-03-25,45,31,0.0,0.0,1.0,2023,3
16,2023-03-24,44,21,0.0,0.0,2.0,2023,3
17,2023-03-23,38,23,0.0,0.0,2.0,2023,3
18,2023-03-22,40,27,0.05,0.0,2.0,2023,3
19,2023-03-21,41,25,0.16,0.0,4.0,2023,3
20,2023-03-20,39,25,0.0,0.0,5.0,2023,3
21,2023-03-19,40,7,0.0,0.0,5.0,2023,3
22,2023-03-18,27,8,0.0,0.4,5.0,2023,3
23,2023-03-17,18,7,0.0,0.2,5.0,2023,3
24,2023-03-16,45,18,0.21,0.3,7.0,2023,3
25,2023-03-15,45,27,0.0,0.0,10.0,2023,3
26,2023-03-14,31,11,0.0,0.0,11.0,2023,3
27,2023-03-13,31,17,0.0,0.0,11.0,2023,3
28,2023-03-12,32,23,0.05,0.3,11.0,2023,3
29,2023-03-11,31,28,0.18,2.0,9.0,2023,3
30,2023-03-10,33,26,0.03,0.6,10.0,2023,3
31,2023-03-09,34,29,0.15,2.1,8.0,2023,3
32,2023-03-08,35,32,0.05,0.6,7.0,2023,3
33,2023-03-07,39,27,0.0,0.0,8.0,2023,3
34,2023-03-06,36,29,0.05,0.5,9.0,2023,3
35,2023-03-05,38,19,0.29,2.8,7.0,2023,3
36,2023-03-04,38,23,0.0,0.0,7.0,2023,3
37,2023-03-03,42,22,0.0,0.0,7.0,2023,3
38,2023-03-02,28,17,0.0,0.0,7.0,2023,3
39,2023-03-01,38,24,0.05,0.4,7.0,2023,3
40,2023-02-28,40,20,0.0,0.0,10.0,2023,2
41,2023-02-27,34,28,0.48,0.0,11.0,2023,2
42,2023-02-26,33,5,0.0,0.0,12.0,2023,2
43,2023-02-25,26,3,0.0,0.0,12.0,2023,2
44,2023-02-24,11,-8,0.0,0.3,13.0,2023,2
45,2023-02-23,18,0,0.35,6.5,11.0,2023,2
46,2023-02-22,21,14,0.25,3.8,8.0,2023,2
47,2023-02-21,15,3,0.25,3.1,5.0,2023,2
48,2023-02-20,35,10,0.12,1.7,4.0,2023,2
49,2023-02-19,35,18,0.0,0.0,4.0,2023,2
50,2023-02-18,36,22,0.0,0.0,4.0,2023,2
51,2023-02-17,29,6,0.0,0.0,4.0,2023,2
52,2023-02-16,20,12,0.0,0.0,4.0,2023,2
53,2023-02-15,38,16,0.16,0.0,5.0,2023,2
54,2023-02-14,43,35,0.68,0.0,6.0,2023,2
55,2023-02-13,43,24,0.0,0.0,7.0,2023,2
56,2023-02-12,43,20,0.0,0.0,7.0,2023,2
57,2023-02-11,39,28,0.0,0.0,8.0,2023,2
58,2023-02-10,29,8,0.0,0.0,8.0,2023,2
59,2023-02-09,38,19,0.0,0.0,8.0,2023,2
60,2023-02-08,45,21,0.0,0.0,9.0,2023,2
